Video_Title,Video_Description,Video_Id,View_Count,Channel_Title,Channel_Id,Thumbnail_Url
Children Educational Videos | Nursery Rhymes &amp; Baby Songs - Kids TV,"Welcome to Kids TV, where the warmth of childhood meets the joy of learning through fun nursery rhymes and toddler songs!",0KW3Ef1mU-g,8768204,Kids TV - Nursery Rhymes And Baby Songs,UC7Pq3Ko42YpkCB_Q4E981jw,https://i.ytimg.com/vi/0KW3Ef1mU-g/default.jpg
Best Learning Videos For Kids | The Dr.Binocs Show | Fun Learning Videos For Kids | By Peekaboo Kids,Best Learning Videos For Kids from The Dr.Binocs Show Fun Learning Videos For Kids By Peekaboo Kids Share on Facebook ...,OTuph9pJWU4,7802078,Peekaboo Kidz,UCxlJ45KjG4XVcQ_hd8j227A,https://i.ytimg.com/vi/OTuph9pJWU4/default.jpg
🔴 Wheels on the Bus - Nursery Rhymes &amp; Kids Songs - Toddler Learning Video - Ms Rachel,"Have your toddler learn with a real teacher, Ms Rachel! In these highly researched and expert approved toddler learning videos, ...",XF_RhnCGuHM,40802512,Ms Rachel - Toddler Learning Videos,UCG2CL6EUjG8TVT1Tpl9nJdg,https://i.ytimg.com/vi/XF_RhnCGuHM/default_live.jpg
"Learn Letters, Chain Reactions, Physics, Recycling and more | 7 Cartoons with Max and Friends!","This educational compilation includes 7 short cartoons with Max the Glow Train and Friends! 1. ""Chain Reactions"" - Max the Glow ...",ILPjPIFNsRA,100677491,coilbook™ | Learning For Children,UCV1SycDpnU1A2dXqob6Aowg,https://i.ytimg.com/vi/ILPjPIFNsRA/default.jpg
Best Learning Videos for Toddlers | Learn Shapes for Children with Fun Play Wooden Toy Truck,"Watch this episode from our popular learning series called ""Best Learning videos for toddlers"". Learn Shapes for Children with ...",YTSBZJWuTQk,5575892,KidsCamp Nursery Rhymes & Learning Videos for Kids,UCjVkjd2VWCWO-9DHRQER3Yg,https://i.ytimg.com/vi/YTSBZJWuTQk/default.jpg
Days Of The Week - ChuChu TV Surprise Eggs Learning Videos For Kids,Have fun listening to ChuChu TV's songs on Spotify: https://chuchu.me/Spotify . To download and watch this video anywhere and ...,xPq1KrYWbqo,14061002,ChuChuTV Learning with Surprise Eggs,UCKcQ7Jo2VAGHiPMfDwzeRUw,https://i.ytimg.com/vi/xPq1KrYWbqo/default.jpg
Shapes🔹️Lesson 4🔹️PART 1🔹️ Educational video for children (Early childhood development).,"Learning shapes - an effective learning video for young children, in which they learn basic geometric shapes easily and quickly, ...",MnOKD_I6vSU,3065093,Little Academy TV,UCGFN5Bm3Zh0tMwVromTlKfw,https://i.ytimg.com/vi/MnOKD_I6vSU/default.jpg
Blippi Meets TALKING PLANETS! | Blippi Wonders | Educational Cartoons for Kids,"Three, two, one, blast off! The Blippi-Mobile becomes a spacecraft on this mission to find out which planets are in the solar system!",0GAhHaK4y58,1769283,Blippi Wonders - Educational Cartoons for Kids,UC_dpB5SImaseMZpLu8s-r7w,https://i.ytimg.com/vi/0GAhHaK4y58/default.jpg
"Phonics, Counting, Colors + More Kids Learning Songs &amp; Nursery Rhymes | Gracie’s Corner Compilation","This fun and educational Gracie's Corner compilation video presents preschool concepts such as counting, color recognition, ...",g6CVApMxmqg,60951574,Gracie's Corner,UCQ2FzqIvWSE7ysvL1sLWQ5Q,https://i.ytimg.com/vi/g6CVApMxmqg/default.jpg
Blippi Visits a Zoo And Learns About Animals! | Educational Videos for Kids,Blippi becomes a zookeeper for a day and visits the Zoo. Blippi learns about animals for children and toddlers for a day.,05dcZUK_k7I,8401917,Blippi - Educational Videos for Kids,UC5PYHgAzJ1wLEidB58SK6Xw,https://i.ytimg.com/vi/05dcZUK_k7I/default.jpg
ABC Flashcards for Toddlers | Babies First Words &amp; ABCD Alphabets for Kids by RV AppStudios,"It's the ABC flashcard for toddlers, a fun and educational way that helps kids learn letters! Colorful pictures and adorable ...",p-kAI-qOeJA,47597358,Kids Songs and Nursery Rhymes - RV AppStudios,UCYqksDldZTkKmsrBb4OGJ9g,https://i.ytimg.com/vi/p-kAI-qOeJA/default.jpg
How to Write Letters for Children - Teaching Writing ABC for Preschool - Alphabet for Kids,"Hi Kiddos! In this video, we will learn how to write letters from A to Z uppercase and as a bonus you will also learn the different ...",C7oebqj3PCY,67946935,Kiddos World TV,UCRaC_9WVNkT7D4XJrK713Mw,https://i.ytimg.com/vi/C7oebqj3PCY/default.jpg
TuTiTu Compilation | Numbers &amp; Letters | Fun Learning Videos for Children,"The TuTiTu Compilation series features the beloved TuTiTu episodes, grouped into long-form videos by theme. TuTiTu Toys is a ...",AjgD3CvWzS0,37434868,TuTiTuTV,UCeUYwh-WiIoG47ECQvQxKsA,https://i.ytimg.com/vi/AjgD3CvWzS0/default.jpg
